iter	Passed	Remaining
970	29040	867
971	29069	837
972	29099	807
973	29128	777
974	29158	747
975	29188	717
976	29218	687
977	29247	657
978	29292	628
979	29324	598
980	29355	568
981	29384	538
982	29413	508
983	29442	478
984	29471	448
985	29500	418
986	29532	388
987	29562	359
988	29592	329
989	29620	299
990	29650	269
991	29678	239
992	29707	209
993	29736	179
994	29771	149
995	29799	119
996	29828	89
997	29857	59
998	29888	29
999	29916	0
